Position,Track Name,Artist,Streams,URL,Date,Region
43,Step Into Christmas,Elton John,1263,https://open.spotify.com/track/11P4sSu6BH2lAbWk1sL6cK,2018-12-25,lu
44,I'll Be Home,Meghan Trainor,1253,https://open.spotify.com/track/1hy6kKvsPbv7VTcllCuATC,2018-12-25,lu
45,Without Me,Halsey,1224,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-12-25,lu
46,I'll Be Home for Christmas,Michael Bublé,1222,https://open.spotify.com/track/0tXPhc8LvM4dPvoRwI66XQ,2018-12-25,lu
47,Mistletoe And Holly - Remastered 1999,Frank Sinatra,1222,https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ,2018-12-25,lu
48,"thank u, next",Ariana Grande,1200,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018-12-25,lu
49,Joy To The World,Nat King Cole,1192,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu,2018-12-25,lu
50,Santa Claus Is Coming To Town,The Jackson 5,1167,https://open.spotify.com/track/4rMWDm28mERZcRPc1f3yir,2018-12-25,lu
51,Thank God It's Christmas - Non-Album Single,Queen,1146,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck,2018-12-25,lu
52,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1138,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2018-12-25,lu
53,Do You Hear What I Hear?,Bing Crosby,1137,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH,2018-12-25,lu
54,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,1136,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,2018-12-25,lu
55,Have Yourself a Merry Little Christmas,Christina Aguilera,1090,https://open.spotify.com/track/0iV9yfj1knFNOSEiuTHZwl,2018-12-25,lu
56,One More Sleep,Leona Lewis,1089,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d,2018-12-25,lu
57,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1087,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-12-25,lu
58,Wow.,Post Malone,1084,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2018-12-25,lu
59,Jingle Bells - Remastered 1999,Frank Sinatra,1078,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL,2018-12-25,lu
60,Sleigh Ride,Ella Fitzgerald,1072,https://open.spotify.com/track/79a2ejVzj2SpXkpWdfv1Co,2018-12-25,lu
61,Sweet but Psycho,Ava Max,1060,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-12-25,lu
62,This Christmas,Donny Hathaway,1054,https://open.spotify.com/track/7MSYSOobsombc1mbDWFxtD,2018-12-25,lu
63,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,1044,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ,2018-12-25,lu
64,Happy Xmas (War Is Over),Céline Dion,1024,https://open.spotify.com/track/1wur1SW656paPv7EyTqWu4,2018-12-25,lu
65,Oh Holy Night,Nina Nesbitt,1014,https://open.spotify.com/track/2HD7DoEe9FdtvGdAdQIv5W,2018-12-25,lu
66,"Merry Christmas, Happy Holidays",*NSYNC,1007,https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR,2018-12-25,lu
67,Santa's Coming For Us,Sia,1002,https://open.spotify.com/track/3AlpkljBS1AU7HFVPms8K6,2018-12-25,lu
Position,Track Name,Artist,Streams,URL,2019-04-05,lu
1,Au DD,PNL,4162,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu,2019-04-05,lu
2,Autre monde,PNL,3172,https://open.spotify.com/track/2aG2nLUd8NNI7vFuOLBCe0,2019-04-05,lu
3,Deux frères,PNL,2946,https://open.spotify.com/track/6hzi3AGB39FjxFqcjgbWs7,2019-04-05,lu
4,Chang,PNL,2757,https://open.spotify.com/track/5n9NAd0Y5OUeOGU0nVtLua,2019-04-05,lu
5,Blanka,PNL,2683,https://open.spotify.com/track/295SxdR1DqunCNwd0U767w,2019-04-05,lu
6,Celsius,PNL,2576,https://open.spotify.com/track/5Bj9llJ7xr70Ny2nWiSM6G,2019-04-05,lu
7,bad guy,Billie Eilish,2545,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-04-05,lu
8,Hasta la vista,PNL,2267,https://open.spotify.com/track/6YHnhfw8yMCx4vZvsgem3D,2019-04-05,lu
9,Cœurs,PNL,2184,https://open.spotify.com/track/0VPKan5aM2nQy5voiAjjUo,2019-04-05,lu
10,Con Calma,Daddy Yankee,2149,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-04-05,lu
11,91's,PNL,1979,https://open.spotify.com/track/4LAGHmHcSt0HHwXCJcFri6,2019-04-05,lu
12,Shenmue,PNL,1927,https://open.spotify.com/track/5gqh2FMBquUEwDsRUU4pCF,2019-04-05,lu
13,Harami,Samra,1915,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug,2019-04-05,lu
14,Zoulou tchaing,PNL,1882,https://open.spotify.com/track/1gRMO4h3NGb1ZJA7TNdMPj,2019-04-05,lu
15,Kuta ubud,PNL,1872,https://open.spotify.com/track/25yiHDniULzQL1BaFgV4Tq,2019-04-05,lu
16,Don't Call Me Up,Mabel,1834,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-04-05,lu
17,Shallow,Lady Gaga,1733,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-04-05,lu
18,Menace,PNL,1691,https://open.spotify.com/track/3cdxShmWeMHolKPDi3SRXM,2019-04-05,lu
19,La misère est si belle,PNL,1664,https://open.spotify.com/track/1s3XtkdfT3obSCbQVWtvX9,2019-04-05,lu
